Year,Ion,Mean,SD
1980,Na,20.72041,18.45752
1980,Cl,35.08163,32.33946
1991,Na,37.75625,32.29485
1991,Cl,61.20708,53.11347
2000,Na,39.01765,28.0528
2000,Cl,64.18627,46.31288
2011,Na,57.05935,59.5761
2011,Cl,90.67536,77.58666
