Sample Site ID,Year,Month,Cond
LLG-01,2009,Oct,68
LLG-02,2009,Oct,66
LLG-03,2009,Oct,157
LLG-01,2009,Nov,42
LLG-02,2009,Nov,71
LLG-03,2009,Nov,222
LLG-03,2009,Dec,191
LLG-02,2009,Dec,72
LLG-01,2009,Dec,46
LLG-03,2010,Jan,393
LLG-02,2010,Jan,79
LLG-02,2010,Feb,80
LLG-03,2010,Mar,328
LLG-02,2010,Mar,56
LLG-01,2010,Mar,38
LLG-03,2010,Apr,312
LLG-02,2010,Apr,66
LLG-01,2010,Apr,40
LLG-03,2010,May,294
LLG-02,2010,May,68
LLG-01,2010,May,45
LLG-03,2010,Jun,286
LLG-02,2010,Jun,67
LLG-01,2010,Jun,35
LLG-02,2010,Jul,70
LLG-01,2010,Jul,45
LLG-02,2010,Aug,70
LLG-01,2010,Aug,49
LLG-03,2010,Sep,180
LLG-02,2010,Sep,71
LLG-01,2010,Sep,74
LLG-03,2010,Oct,261
LLG-02,2010,Oct,69
LLG-01,2010,Oct,68
LLG-03,2010,Nov,133
LLG-02,2010,Nov,74
LLG-01,2010,Nov,34
LLG-03,2010,Dec,216
LLG-02,2010,Dec,76
LLG-01,2010,Dec,52
LLG-03,2011,Jan,186
LLG-02,2011,Jan,81
LLG-03,2011,Mar,165
LLG-02,2011,Mar,62
LLG-01,2011,Mar,42
LLG-03,2011,Apr,328
LLG-02,2011,Apr,69
LLG-01,2011,Apr,51
LLG-03,2011,May,216
LLG-02,2011,May,72
LLG-01,2011,May,44
LLG-02,2011,Jun,69
LLG-03,2011,Jun,197
LLG-01,2011,Jun,41
LLG-01,2011,Jul,40
LLG-02,2011,Jul,70
LLG-03,2011,Jul,120
LLG-02,2011,Aug,68
LLG-03,2011,Aug,218
LLG-01,2011,Aug,39
LLG-03,2011,Sep,96
LLG-02,2011,Sep,69
LLG-01,2011,Sep,45
LLG-03,2011,Oct,83
LLG-02,2011,Oct,62
LLG-01,2011,Oct,39
LLG-01,2011,Nov,35
LLG-03,2011,Nov,157
LLG-02,2011,Nov,60
LLG-03,2011,Dec,122
LLG-02,2011,Dec,59
LLG-01,2011,Dec,39
LLG-03,2012,Jan,261
LLG-02,2012,Jan,65
LLG-01,2012,Jan,45
LLG-03,2012,Feb,342
LLG-02,2012,Feb,65
LLG-01,2012,Feb,41
LLG-01,2012,Mar,42
LLG-02,2012,Mar,58
LLG-03,2012,Mar,541
LLG-03,2012,Apr,192
LLG-02,2012,Apr,59
LLG-01,2012,Apr,43
LLG-03,2012,May,221
LLG-02,2012,May,61
LLG-01,2012,May,43
LLG-02,2012,Jun,62
LLG-03,2012,Jun,210
LLG-01,2012,Jun,41
LLG-03,2012,Jul,185
LLG-02,2012,Jul,63
LLG-01,2012,Jul,45
LLG-03,2012,Aug,238
LLG-02,2012,Aug,65
LLG-01,2012,Aug,44
LLG-03,2012,Sep,123
LLG-02,2012,Sep,59
LLG-01,2012,Sep,41
LLG-03,2012,Oct,228
LLG-02,2012,Oct,62
LLG-01,2012,Oct,41
LLG-03,2012,Nov,178
LLG-02,2012,Nov,63
LLG-01,2012,Nov,43
LLG-03,2012,Dec,164
LLG-02,2012,Dec,61
LLG-01,2012,Dec,45
LLG-03,2013,Feb,298
LLG-02,2013,Feb,65
LLG-03,2013,Mar,261
LLG-02,2013,Mar,63
LLG-01,2013,Mar,50
LLG-03,2013,Apr,231
LLG-02,2013,Apr,62
LLG-01,2013,Apr,45
LLG-02,2013,May,64
LLG-01,2013,May,43
LLG-03,2013,May,242
LLG-03,2013,Jun,254
LLG-02,2013,Jun,65
LLG-01,2013,Jun,23
LLG-02,2013,Jul,62
LLG-01,2013,Jul,39
LLG-02,2013,Aug,63
LLG-01,2013,Aug,39
LLG-03,2013,Aug,229
LLG-01,2013,Sep,41
LLG-03,2013,Sep,75
LLG-02,2013,Sep,61
LLG-03,2013,Oct,189
LLG-02,2013,Oct,60
LLG-01,2013,Oct,39
LLG-01,2013,Nov,41
LLG-02,2013,Nov,60
LLG-03,2013,Nov,172
LLG-02,2014,Apr,68
LLG-01,2014,Apr,37
LLG-03,2014,Apr,251
LLG-03,2014,May,207
LLG-02,2014,May,67
LLG-01,2014,May,41
LLG-03,2014,Jun,258
LLG-02,2014,Jun,68
LLG-01,2014,Jun,41
LLG-01,2014,Jul,162
LLG-02,2014,Jul,69
LLG-03,2014,Jul,41
LLG-03,2014,Sep,157
LLG-02,2014,Sep,74
LLG-01,2014,Sep,45
LLG-03,2014,Nov,145
LLG-02,2014,Nov,70
LLG-01,2014,Nov,46
LLG-03,2015,Jan,237
LLG-02,2015,Jan,67
LLG-01,2015,Jan,38
LLG-03,2015,Jul,285
LLG-02,2015,Jul,74
LLG-01,2015,Jul,37
LLG-03,2015,Aug,130
LLG-02,2015,Aug,77
LLG-01,2015,Aug,43
LLG-03,2015,Sep,188
LLG-02,2015,Sep,80
LLG-01,2015,Sep,53
LLG-03,2015,Oct,323
LLG-02,2015,Oct,79
LLG-01,2015,Oct,40
LLG-03,2015,Nov,256
LLG-02,2015,Nov,79
LLG-01,2015,Nov,47
LLG-03,2015,Dec,285
LLG-02,2015,Dec,80
LLG-01,2015,Dec,26
LLG-03,2016,Mar,382
LLG-01,2016,Mar,42
LLG-02,2016,Mar,76
LLG-03,2016,May,240
LLG-02,2016,May,77
LLG-01,2016,May,38
LLG-03,2016,Jul,239
LLG-02,2016,Jul,81
LLG-01,2016,Jul,46
LLG-03,2016,Sep,147
LLG-02,2016,Sep,82
LLG-01,2016,Sep,56
LLG-03,2016,Nov,235
LLG-02,2016,Nov,82
LLG-01,2016,Nov,23
LLG-03,2017,Jan,130
LLG-02,2017,Jan,67
LLG-01,2017,Jan,37
LLG-03,2017,Mar,284
LLG-02,2017,Mar,80
LLG-01,2017,Mar,44
LLG-01,2017,May,38
LLG-03,2017,May,159
LLG-02,2017,May,62
LLG-03,2017,Jun,229
LLG-02,2017,Jun,73
LLG-01,2017,Jun,42
LLG-03,2017,Jul,265
LLG-02,2017,Jul,71
LLG-01,2017,Jul,38
LLG-02,2017,Aug,73
LLG-01,2017,Aug,43
LLG-03,2017,Aug,281
LLG-03,2017,Sep,318
LLG-02,2017,Sep,75
LLG-01,2017,Sep,38
LLG-03,2017,Oct,336
LLG-02,2017,Oct,81
LLG-01,2017,Oct,50
LLG-03,2017,Nov,293
LLG-02,2017,Nov,76
LLG-01,2017,Nov,53
LLG-03,2017,Dec,153
LLG-02,2017,Dec,70
LLG-01,2017,Dec,49
LLG-03,2018,Jan,261.73
LLG-02,2018,Jan,81.14
LLG-01,2018,Jan,63.18
LLG-03,2018,Feb,341.74
LLG-02,2018,Feb,79.27
LLG-01,2018,Feb,58.24
LLG-02,2018,Mar,73
LLG-02,2018,Apr,64.39
LLG-01,2018,Apr,44.03
LLG-03,2018,Apr,220.87
LLG-03,2018,May,215.74
LLG-02,2018,May,66.98
LLG-01,2018,May,43.43
LLG-03,2018,Jun,262.5
LLG-02,2018,Jun,72.66
LLG-01,2018,Jun,47.35
LLG-02,2018,Jul,72.09
LLG-03,2018,Jul,100.46
LLG-01,2018,Jul,46.9
LLG-01,2018,Aug,46.21
LLG-02,2018,Aug,69.45
LLG-03,2018,Aug,289.66
LLG-03,2018,Sep,328.29
LLG-02,2018,Sep,64.19
LLG-01,2018,Sep,45.7
LLG-03,2018,Oct,176.18
LLG-02,2018,Oct,66.62
LLG-01,2018,Oct,71.69
LLG-03,2018,Nov,116.25
LLG-02,2018,Nov,53.72
LLG-01,2018,Nov,37.59
LLG-03,2018,Dec,223.63
LLG-02,2018,Dec,52.83
LLG-01,2018,Dec,42.78
LLG-03,2019,Jan,246.71
LLG-02,2019,Jan,58.75
LLG-01,2019,Jan,42.47
LLG-03,2019,Mar,335.17
LLG-02,2019,Mar,55.4
LLG-01,2019,Mar,31.37
LLG-03,2019,Apr,279.28
LLG-02,2019,Apr,58.3
LLG-01,2019,Apr,34.77
LLG-02,2019,May,54.06
LLG-03,2019,May,214.58
LLG-03,2019,Jul,227.4
LLG-02,2019,Jul,55.25
LLG-02,2019,Sep,52.66
LLG-03,2019,Sep,233.96
LLG-02,2019,Nov,62.09
LLG-03,2019,Nov,161.27
LLG-02,2020,Jan,64.33
LLG-03,2020,Jan,269.15
LLG-02,2020,May,58.14183
LLG-03,2020,May,219.5859
