Name,lat,long,geometry,Year,Cl,Conductivity,Na
Grand,44.89538191,-63.15200372,"44.89538191,-63.15200372",1991,14.07,81.7,8.8
Grand,44.89538191,-63.15200372,"44.89538191,-63.15200373",2000,18.6,98.2,11.5
Grand,44.89538191,-63.15200372,"44.89538191,-63.15200374",2011,19.4,N/A,11.96666667
Kearney,44.69628891,-63.69831622,"44.69628891,-63.69831622",1980,5.2,49.5,8.4
Kearney,44.69628891,-63.69831622,"44.69628891,-63.69831623",1991,16.65,77.4,10.1
Kearney,44.69628891,-63.69831622,"44.69628891,-63.69831624",2000,36,156,21.4
Kearney,44.69628891,-63.69831622,"44.69628891,-63.69831625",2011,55.7,N/A,32.3
Kinsac,44.82484968,-63.65126758,"44.82484968,-63.65126758",1980,8.1,39.2,4.8
Kinsac,44.82484968,-63.65126758,"44.82484968,-63.65126759",1991,9.93,59,6.6
Kinsac,44.82484968,-63.65126758,"44.82484968,-63.65126760",2000,13.7,72.7,7.9
Kinsac,44.82484968,-63.65126758,"44.82484968,-63.65126761",2011,19.93333333,N/A,11.6
Lemont,44.68958071,-63.52159449,"44.68958071,-63.52159449",1980,5,33.2,3.8
Lemont,44.68958071,-63.52159449,"44.68958071,-63.52159450",1991,5.7,40.5,3.5
Lemont,44.68958071,-63.52159449,"44.68958071,-63.52159451",2000,10.1,61.2,5.8
Lemont,44.68958071,-63.52159449,"44.68958071,-63.52159452",2011,16.6,N/A,9.6
Little Albro,44.68424498,-63.57658478,"44.684244979346126, -63.576584777804186",1980,75,109,22
Little Albro,44.68424498,-63.57658478,"44.684244979346126, -63.576584777804186",1991,92,344,56.7
Little Albro,44.68424498,-63.57658478,"44.684244979346126, -63.576584777804186",2000,81.3,333,51.9
Little Albro,44.68424498,-63.57658478,"44.684244979346126, -63.576584777804186",2011,118.6,N/A,73.5
Long ,44.62334658,-63.64071614,"44.62334658,-63.64071614",1980,36,74.2,12
Long ,44.62334658,-63.64071614,"44.62334658,-63.64071615",1991,42.6,184.7,27.3
Long ,44.62334658,-63.64071614,"44.62334658,-63.64071616",2000,52.8,219.7,32.3
Long ,44.62334658,-63.64071614,"44.62334658,-63.64071617",2011,77.73333333,N/A,44.56666667
Loon,44.96126063,-63.0790304,"44.96126063,-63.0790304",1980,6.1,108.2,17.5
Loon,44.96126063,-63.0790304,"44.96126063,-63.0790305",1991,67.85,277,43
Loon,44.96126063,-63.0790304,"44.96126063,-63.0790306",2000,76,319.5,46.2
Loon,44.96126063,-63.0790304,"44.96126063,-63.0790307",2011,79.05,N/A,48.5
Major,44.74622405,-63.49728125,"44.74622405,-63.49728125",1980,30.5,30.9,3.4
Major,44.74622405,-63.49728125,"44.74622405,-63.49728126",1991,4.56,36.6,2.9
Major,44.74622405,-63.49728125,"44.74622405,-63.49728127",2000,5.5,38.5,3.7
Major,44.74622405,-63.49728125,"44.74622405,-63.49728128",2011,6.833333333,N/A,4.133333333
Maynards ,44.67053048,-63.55245845,"44.67053048,-63.55245845",1980,91,212,42
Maynards ,44.67053048,-63.55245845,"44.67053048,-63.55245846",1991,103,381,63.5
Maynards ,44.67053048,-63.55245845,"44.67053048,-63.55245847",2000,94.1,395.7,58.4
Maynards ,44.67053048,-63.55245845,"44.67053048,-63.55245848",2011,88.2,N/A,55.23333333
Micmac,44.69231291,-63.55317032,"44.69231291,-63.55317032",1980,47,159.2,27
Micmac,44.69231291,-63.55317032,"44.69231291,-63.55317033",1991,76.2,321.5,47.5
Micmac,44.69231291,-63.55317032,"44.69231291,-63.55317034",2000,85.3,362.5,50.7
Micmac,44.69231291,-63.55317032,"44.69231291,-63.55317035",2011,235.65,N/A,139
Miller ,44.81616211,-63.59353509,"44.81616211,-63.59353509",1980,20.3,71.6,11.5
Miller ,44.81616211,-63.59353509,"44.81616211,-63.59353510",1991,23.65,109.4,14.7
Miller ,44.81616211,-63.59353509,"44.81616211,-63.59353511",2000,21.5,101.4,13.7
Miller ,44.81616211,-63.59353509,"44.81616211,-63.59353512",2011,26.2,N/A,16.05
Morris,44.65151893,-63.4972532,"44.65151893,-63.4972532",1980,41.7,151.5,24
Morris,44.65151893,-63.4972532,"44.65151893,-63.4972533",1991,74.9,309,46.4
Morris,44.65151893,-63.4972532,"44.65151893,-63.4972534",2000,74.4,314.8,45.3
Morris,44.65151893,-63.4972532,"44.65151893,-63.4972535",2011,103.16,N/A,61.56
Oathill,44.67387141,-63.55038323,"44.67387141,-63.55038323",1980,84,280,53
Oathill,44.67387141,-63.55038323,"44.67387141,-63.55038324",1991,152,580,89.9
Oathill,44.67387141,-63.55038323,"44.67387141,-63.55038325",2000,124,544,76.4
Oathill,44.67387141,-63.55038323,"44.67387141,-63.55038326",2011,158.6,N/A,96.5
Paper Mill,44.71525545,-63.68817875,"44.71525545,-63.68817875",1980,14,47.5,8.1
Paper Mill,44.71525545,-63.68817875,"44.71525545,-63.68817876",1991,17,78.9,10.3
Paper Mill,44.71525545,-63.68817875,"44.71525545,-63.68817877",2000,36.4,154,21.2
Paper Mill,44.71525545,-63.68817875,"44.71525545,-63.68817878",2011,61.5,N/A,36.4
Parr,44.56423274,-63.606017,"44.56423273577483, -63.60601700043748",1980,32,47.5,6
Parr,44.56423274,-63.606017,"44.56423273577483, -63.60601700043748",1991,12.3,74.6,8
Parr,44.56423274,-63.606017,"44.56423273577483, -63.60601700043748",2000,16.7,96.8,10.6
Parr,44.56423274,-63.606017,"44.56423273577483, -63.60601700043748",2011,16.7,N/A,10
Penhorn,44.67535825,-63.5406571,"44.67535825,-63.5406571",1980,8.3,253.5,46
